id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall,week_of_year,month,day_of_week,temp_range,sin_wind,cos_wind,temp_7day_avg,temp_30day_avg,temp_90day_avg
0.0,-1.7013608316260163,0.6743657384167083,-0.9138091615288712,-0.6421987580065097,-0.4489667950642263,-0.5418428829211654,0.6231420104888961,0.7171070214896426,-0.5629966934273005,-0.5609005246648382,-0.46801395356867515,1.0,-1.673055067063501,-1.576592565519598,-1.4950643426213372,-1.9172118525485067,0.819448436201267,0.531505234827888,-0.6725071911826128,-0.6954098715051129,-0.7604431414550897
1.0,-1.6918532818839642,1.0468065839513625,-1.7982891288889349,-1.3508457424447327,-1.2597373576743005,-1.1118443292507534,1.8206248892266852,1.1156189324046264,-1.3762218223584581,-0.6859252980259369,0.016092190537845157,1.0,-1.673055067063501,-1.576592565519598,-0.9944235306426327,-2.514239147611722,0.6662342704519232,0.7460269549762173,-1.0433461874582968,-1.0796276954269266,-1.1841621772192805
2.0,-1.6823457321419122,1.8626293884558178,-1.2322219497784943,-1.5040667120529962,-1.4970360589260299,-1.5971648181020666,-0.950454823629538,-1.47476953673893,1.1821279954693273,-0.43587575130373946,-0.3753127770376391,1.0,-1.673055067063501,-1.576592565519598,-0.4937827186639279,0.4045609615862135,0.9323385416856722,0.2941589365253755,-1.2204134559502897,-1.2630830527949994,-1.3864784735751552
3.0,-1.6728381823998602,-0.035045395935006,-1.4621867412921103,-1.1784721516354348,-1.0422135481935493,-0.9417339951825394,1.8206248892266852,1.73419004182789,-1.3762218223584581,-0.5609005246648382,1.4272100999547241,1.0,-1.673055067063501,-1.576592565519598,0.0068580933147768044,-1.98354821866664,0.819448436201267,0.531505234827888,-1.223754347808629,-1.2665444746321326,-1.3902957621856433
4.0,-1.663330632657808,1.4547179862035902,-0.8961195621816697,-1.063556424429237,-1.3783867083001655,-1.5811773594036387,-2.9163979584035054,-1.509376942382563,0.3365184004680044,-0.8109500713870357,0.3147959815822941,0.0,-1.673055067063501,-1.576592565519598,0.5074989052934815,1.2669337211219687,0.47735137933382643,0.9312059630568849,-1.2017044615435886,-1.243699090507052,-1.3651016573564212
5.0,-1.6538230829157559,1.614335491432742,-1.0199467576120784,-1.0252511820271704,-1.1213131152774587,-1.3878810784112487,-0.4554685181437556,-0.018504878090221947,-1.3762218223584581,-1.0609996181092332,-0.6225159144537349,1.0,-1.673055067063501,-1.576592565519598,1.0081397172721862,-0.0597936012407291,0.0164452614458837,1.192092085147661,-1.1803227536502159,-1.2215459907493982,-1.340671010249297
6.0,-1.6443155331737038,1.6320707697915187,-1.2145323504312926,-1.063556424429237,-1.3586118165291876,-1.4768107145718454,-2.843326344734397,-1.4924968357868957,1.0864414542933647,-1.0609996181092332,0.6856006877064372,0.0,-1.673055067063501,-1.576592565519598,1.508780529250891,0.006542764877404381,0.0164452614458837,1.192092085147661,-1.1707773483406747,-1.211656214071874,-1.329764471362188
7.0,-1.6348079834316518,1.0822771406689562,-1.8690475262777397,-1.9828822420788226,-1.8727590025746013,-1.4413783423457605,1.9794244459985375,2.6619589526262364,-1.3762218223584581,-0.6859252980259369,2.7623645452697816,1.0,-1.6064987720485318,-1.576592565519598,-1.4950643426213372,-0.723157262422078,0.6662342704519232,0.7460269549762173,-1.371230859841044,-1.328850067700535,-1.459006957174431
8.0,-1.6253004336895998,0.6743657384167083,-1.5506347380281167,-1.4274562272488645,-1.2992871412162557,-1.3878810784112487,0.482178492255695,2.6619589526262364,-1.3762218223584581,-0.6859252980259369,1.6229125837424663,1.0,-1.6064987720485318,-1.576592565519598,-0.9944235306426327,-1.4528572897215617,0.6662342704519232,0.7460269549762173,-1.3826853462124937,-1.3530800205604692,-1.4857279774478487
9.0,-1.6157928839475477,2.0931880071201574,-1.7452203308473309,-1.829661272470558,-2.011183244971443,-1.6318104883110578,-0.706976961693481,0.2653758127036889,-0.6175257521370306,-0.6859252980259369,1.705313629547831,0.0,-1.6064987720485318,-1.576592565519598,-0.4937827186639279,0.20555186323180955,0.6662342704519232,0.7460269549762173,-1.431366913291155,-1.4160778979962976,-1.5552026301587334
10.0,-1.6062853342054957,0.5679540682639472,-1.7805995295417334,-1.6572876816612607,-1.5959105177809172,-1.2567752396234688,2.140319077984589,2.6619589526262364,-1.3762218223584581,-0.8109500713870357,0.2735954586796113,1.0,-1.6064987720485318,-1.576592565519598,0.0068580933147768044,-1.3201845574852924,0.47735137933382643,0.9312059630568849,-1.502957453112716,-1.450629181425139,-1.5933061110161524
11.0,-1.5967777844634437,-0.1946629011641377,-1.7982891288889349,-1.676440302862294,-1.6156854095518944,-1.395809733713469,2.303326266381339,2.6619589526262364,-1.3762218223584581,-0.6859252980259369,0.18089428214857564,1.0,-1.6064987720485318,-1.576592565519598,0.5074989052934815,-1.3201845574852935,0.6662342704519232,0.7460269549762173,-1.594593344084313,-1.4811526285344072,-1.6269676560359123
12.0,-1.5872702347213916,1.206424089180494,-2.01056432105535,-1.6189824392591947,-1.773884543719714,-1.426565298623844,-0.706976961693481,0.48033815101015476,-1.3762218223584581,-0.6859252980259369,1.097605916733263,1.0,-1.6064987720485318,-1.576592565519598,1.0081397172721862,-1.585530021957832,0.6662342704519232,0.7460269549762173,-1.6833656134630484,-1.502187422775449,-1.6501650252842637
13.0,-1.5777626849793394,-0.1946629011641377,-2.275908311263369,-2.1169505904860535,-2.090282812055353,-1.4413783423457605,0.6231420104888961,1.2606083193338986,-1.3762218223584581,-0.6859252980259369,1.571411930114113,1.0,-1.6064987720485318,-1.576592565519598,1.508780529250891,-1.5191936558396975,0.6662342704519232,0.7460269549762173,-1.8408648010704811,-1.5587873754529715,-1.712583986299719
14.0,-1.5682551352372873,0.8517185220046369,-1.5152555393337142,-1.4274562272488645,-1.3981616000711428,-1.4190187208601812,-0.706976961693481,0.3701993390160242,-0.5108587805486376,-0.8109500713870357,-0.08690911671886131,1.0,-1.5399424770335626,-1.576592565519598,-1.4950643426213372,-0.9885027268946178,0.47735137933382643,0.9312059630568849,-1.757819774877471,-1.55799619331877,-1.7117114631887507
15.0,-1.5587475854952353,1.8980999451734115,-1.957495523013746,-2.1169505904860535,-2.4066810803909915,-1.483628468599701,-0.4554685181437556,1.1156189324046264,-1.0924481560362829,-1.0609996181092332,-0.179610293249897,1.0,-1.5399424770335626,-1.576592565519598,-0.9944235306426327,0.7362427921768891,0.0164452614458837,1.192092085147661,-1.860910152220518,-1.6040331037526443,-1.762481401708243
16.0,-1.5492400357531833,1.5788649347151482,-1.7805995295417334,-2.0786453480839877,-2.1298325955973074,-1.8048596310353224,-0.4554685181437556,-0.7455570884152016,0.9676326856425967,-1.0609996181092332,0.8813031714941797,1.0,-1.5399424770335626,-1.576592565519598,-0.4937827186639279,0.47089732770434933,0.0164452614458837,1.192092085147661,-1.8981372329277297,-1.6422105504857345,-1.8045838496180402
17.0,-1.5397324860111312,3.181690716391037,-1.5683243373753182,-1.4849140908519636,-1.5959105177809172,-1.4413783423457605,-1.736831365581511,-1.1522440097605122,0.01779621063766874,-0.6859252980259369,-0.8594189211441596,0.0,-1.5399424770335626,-1.576592565519598,0.0068580933147768044,-0.5241481640676741,0.6662342704519232,0.7460269549762173,-1.8723646385919677,-1.6403780330425466,-1.8025629321183703
18.0,-1.5302249362690792,1.8626293884558178,-1.6921515328057268,-1.5615245756560956,-1.6156854095518944,-1.3551834971638503,-0.8297361134717329,-0.33104698428964063,-1.3762218223584581,-1.0609996181092332,-0.12810963962154376,1.0,-1.5399424770335626,-1.576592565519598,0.5074989052934815,-0.9221663607764832,0.0164452614458837,1.192092085147661,-1.855182909034793,-1.6431107344929143,-1.8055765810213864
19.0,-1.5207173865270271,1.1709535324629206,-1.7629099301945323,-1.8679665148726243,-1.8727590025746013,-1.45582277584681,-0.950454823629538,1.411928173198424,-1.2735967591225879,-0.8109500713870357,0.016092190537845157,1.0,-1.5399424770335626,-1.576592565519598,1.0081397172721862,-0.3251390657132701,0.47735137933382643,0.9312059630568849,-1.8924099897420048,-1.662184990616487,-1.8266118503644455
20.0,-1.5112098367849751,1.5611296563563513,-1.5329451386809156,-1.4466088484498978,-1.457486275384075,-1.4768107145718454,1.356606319963025,0.7171070214896426,-1.0115587282076708,-0.9359748447481344,2.0143175513179505,1.0,-1.5399424770335626,-1.576592565519598,1.508780529250891,-0.8558299946583497,0.2585388739142454,1.081415688614459,-1.79218323399182,-1.657685142228213,-1.8216493751708105
